Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_11,3.0,Calle_1 (5),Low,High,Micro,81.82,0.0,59.21,3.289444444,,,,,,,,,,
Ep_11,4.0,Calle_1 (6),Low,High,Micro,65.0,0.0,58.76,3.264444444,,,,,,,,,,
Ep_11,5.0,Calle_1 (3),Low,High,Micro,65.71,0.0,58.24,3.235555556,,,,,,,,,,
Ep_11,6.0,Calle_1 (4),Low,High,Micro,84.85,0.0,58.6,3.255555556,,,,,,,,,,
Ep_11,7.0,Calle_1 (6),Low,High,Micro,76.47,0.0,59.24,3.291111111,,,,,,,,,,
Ep_11,8.0,Calle_1 (2),Low,High,Micro,79.49,0.0,58.9,3.272222222,,,,,,,,,,
Ep_11,9.0,Calle_1 (6),Low,High,Micro,75.0,0.0,59.35,3.297222222,,,,,,,,,,
Ep_11,10.0,Calle_1 (1),Low,High,Micro,66.67,0.0,58.98,3.276666667,,,,,,,,,,
Ep_11,11.0,Calle_1 (5),Low,High,Micro,80.0,0.0,58.75,3.263888889,,,,,,,,,,
Ep_11,12.0,Calle_1,Low,High,Micro,77.78,0.0,57.75,3.208333333,,,,,,,,,,
Ep_11,13.0,Calle_1 (3),Low,High,Micro,86.21,0.0,58.44,3.246666667,,,,,,,,,,
Ep_11,14.0,Calle_1 (2),Low,High,Micro,66.67,0.0,57.54,3.196666667,,,,,,,,,,
Ep_11,15.0,Calle_1 (2),Low,High,Micro,84.85,0.0,59.23,3.290555556,,,,,,,,,,
Ep_11,16.0,Calle_1 (4),Low,High,Micro,64.0,0.0,59.23,3.290555556,,,,,,,,,,
Ep_11,17.0,Calle_1 (3),Low,High,Micro,78.26,0.0,59.55,3.308333333,,,,,,,,,,
Ep_11,18.0,Calle_1 (3),Low,High,Micro,84.62,0.0,58.67,3.259444444,,,,,,,,,,
Ep_11,19.0,Calle_1 (4),Low,High,Micro,93.33,0.0,58.83,3.268333333,,,,,,,,,,
Ep_11,20.0,Calle_1 (4),Low,High,Micro,83.87,0.0,59.03,3.279444444,,,,,,,,,,
Ep_12,1.0,Calle_1 (1),Low,High,Skip,72.73,21.21,126.67,7.037222222,,,,,,,,,,
Ep_12,2.0,Calle_1 (1),Low,High,Skip,80.65,0.0,47.55,2.641666667,,,,,,,,,,
Ep_12,3.0,Calle_1 (5),Low,High,Skip,71.88,0.0,55.09,3.060555556,,,,,,,,,,
Ep_12,4.0,Calle_1 (4),Low,High,Skip,81.58,2.63,73.43,4.079444444,,,,,,,,,,
Ep_12,5.0,Calle_1 (6),Low,High,Skip,72.73,0.0,38.88,2.16,,,,,,,,,,
Ep_12,6.0,Calle_1 (4),Low,High,Skip,59.26,7.41,89.31,4.961666667,,,,,,,,,,
Ep_12,7.0,Calle_1 (3),Low,High,Skip,84.38,0.0,40.76,2.264444444,,,,,,,,,,
Ep_12,8.0,Calle_1 (2),Low,High,Skip,74.29,0.0,54.95,3.052777778,,,,,,,,,,
Ep_12,9.0,Calle_1,Low,High,Skip,78.95,10.53,97.97,5.442777778,,,,,,,,,,
Ep_12,10.0,Calle_1 (3),Low,High,Skip,66.67,0.0,53.02,2.945555556,,,,,,,,,,
Ep_12,11.0,Calle_1 (4),Low,High,Skip,88.89,0.0,55.22,3.067777778,,,,,,,,,,
Ep_12,12.0,Calle_1 (1),Low,High,Skip,86.11,0.0,55.21,3.067222222,,,,,,,,,,
Ep_12,13.0,Calle_1 (2),Low,High,Skip,78.95,5.26,78.01,4.333888889,,,,,,,,,,
Ep_12,14.0,Calle_1 (5),Low,High,Skip,73.91,13.04,75.67,4.203888889,,,,,,,,,,
Ep_12,15.0,Calle_1 (3),Low,High,Skip,92.0,0.0,35.38,1.965555556,,,,,,,,,,
Ep_12,16.0,Calle_1 (4),Low,High,Skip,73.53,0.0,54.83,3.046111111,,,,,,,,,,
Ep_12,17.0,Calle_1 (3),Low,High,Skip,80.0,20.0,112.98,6.276666667,,,,,,,,,,
Ep_12,18.0,Calle_1 (6),Low,High,Skip,73.08,0.0,48.2,2.677777778,,,,,,,,,,
Ep_12,19.0,Calle_1 (5),Low,High,Skip,90.32,0.0,54.74,3.041111111,,,,,,,,,,
Ep_12,20.0,Calle_1,Low,High,Skip,75.0,3.13,63.17,3.509444444,,,,,,,,,,
Ep_13,1.0,Calle_1 (5),Medium,Low,Baseline,44.44,0.0,49.9,2.772222222,,,,,,,,,,
Ep_13,2.0,Calle_1 (4),Medium,Low,Baseline,55.56,0.0,55.35,3.075,,,,,,,,,,
Ep_13,3.0,Calle_1 (6),Medium,Low,Baseline,62.5,0.0,55.1,3.061111111,,,,,,,,,,
Ep_13,4.0,Calle_1 (4),Medium,Low,Baseline,54.55,0.0,55.48,3.082222222,,,,,,,,,,
Ep_13,5.0,Calle_1,Medium,Low,Baseline,47.83,0.0,55.21,3.067222222,,,,,,,,,,
Ep_13,6.0,Calle_1 (5),Medium,Low,Baseline,53.13,0.0,55.07,3.059444444,,,,,,,,,,
Ep_13,7.0,Calle_1,Medium,Low,Baseline,67.57,0.0,55.16,3.064444444,,,,,,,,,,
Ep_13,8.0,Calle_1 (1),Medium,Low,Baseline,66.67,0.0,55.3,3.072222222,,,,,,,,,,
Ep_13,9.0,Calle_1 (5),Medium,Low,Baseline,47.06,0.0,55.01,3.056111111,,,,,,,,,,
Ep_13,10.0,Calle_1 (1),Medium,Low,Baseline,50.0,0.0,55.18,3.065555556,,,,,,,,,,
Ep_13,11.0,Calle_1 (6),Medium,Low,Baseline,46.67,0.0,54.62,3.034444444,,,,,,,,,,
Ep_13,12.0,Calle_1 (4),Medium,Low,Baseline,68.97,0.0,55.14,3.063333333,,,,,,,,,,
Ep_13,13.0,Calle_1 (4),Medium,Low,Baseline,30.0,0.0,55.18,3.065555556,,,,,,,,,,
Ep_13,14.0,Calle_1 (6),Medium,Low,Baseline,48.39,0.0,54.98,3.054444444,,,,,,,,,,
Ep_13,15.0,Calle_1 (5),Medium,Low,Baseline,58.33,0.0,54.98,3.054444444,,,,,,,,,,
Ep_13,16.0,Calle_1,Medium,Low,Baseline,63.64,0.0,54.84,3.046666667,,,,,,,,,,
Ep_13,17.0,Calle_1 (2),Medium,Low,Baseline,42.31,0.0,54.87,3.048333333,,,,,,,,,,
Ep_13,18.0,Calle_1 (2),Medium,Low,Baseline,38.1,0.0,54.85,3.047222222,,,,,,,,,,
Ep_13,19.0,Calle_1 (5),Medium,Low,Baseline,51.61,0.0,54.73,3.040555556,,,,,,,,,,
Ep_13,20.0,Calle_1,Medium,Low,Baseline,50.0,0.0,55.35,3.075,,,,,,,,,,
Ep_14,1.0,Calle_1 (2),Medium,Low,Hover,34.48,0.0,63.74,3.541111111,,,,,,,,,,
Ep_14,2.0,Calle_1,Medium,Low,Hover,50.0,0.0,54.43,3.023888889,,,,,,,,,,
Ep_14,3.0,Calle_1 (3),Medium,Low,Hover,69.23,0.0,55.35,3.075,,,,,,,,,,
Ep_14,4.0,Calle_1 (2),Medium,Low,Hover,50.0,0.0,55.15,3.063888889,,,,,,,,,,
Ep_14,5.0,Calle_1 (2),Medium,Low,Hover,43.33,0.0,54.92,3.051111111,,,,,,,,,,
Ep_14,6.0,Calle_1 (6),Medium,Low,Hover,68.29,0.0,55.21,3.067222222,,,,,,,,,,
Ep_14,7.0,Calle_1 (6),Medium,Low,Hover,56.1,0.0,55.54,3.085555556,,,,,,,,,,
Ep_14,8.0,Calle_1 (3),Medium,Low,Hover,68.0,0.0,54.77,3.042777778,,,,,,,,,,
Ep_14,9.0,Calle_1 (3),Medium,Low,Hover,46.67,0.0,60.33,3.351666667,,,,,,,,,,
Ep_14,10.0,Calle_1 (6),Medium,Low,Hover,59.46,0.0,55.24,3.068888889,,,,,,,,,,
Ep_14,11.0,Calle_1 (5),Medium,Low,Hover,50.0,0.0,55.45,3.080555556,,,,,,,,,,
Ep_14,12.0,Calle_1 (5),Medium,Low,Hover,41.18,0.0,55.27,3.070555556,,,,,,,,,,
Ep_14,13.0,Calle_1 (5),Medium,Low,Hover,60.0,0.0,55.62,3.09,,,,,,,,,,
Ep_14,14.0,Calle_1 (1),Medium,Low,Hover,40.63,0.0,54.74,3.041111111,,,,,,,,,,
Ep_14,15.0,Calle_1 (2),Medium,Low,Hover,55.88,0.0,59.68,3.315555556,,,,,,,,,,
Ep_14,16.0,Calle_1 (3),Medium,Low,Hover,71.43,0.0,55.18,3.065555556,,,,,,,,,,
Ep_14,17.0,Calle_1 (2),Medium,Low,Hover,59.26,0.0,55.44,3.08,,,,,,,,,,
Ep_14,18.0,Calle_1 (1),Medium,Low,Hover,55.56,0.0,59.79,3.321666667,,,,,,,,,,
Ep_14,19.0,Calle_1,Medium,Low,Hover,65.22,0.0,59.41,3.300555556,,,,,,,,,,
Ep_14,20.0,Calle_1 (1),Medium,Low,Hover,33.33,0.0,55.25,3.069444444,,,,,,,,,,
Ep_15,1.0,Calle_1 (5),Medium,Low,Micro,59.09,0.0,54.45,3.025,,,,,,,,,,
Ep_15,2.0,Calle_1 (4),Medium,Low,Micro,60.71,0.0,58.94,3.274444444,,,,,,,,,,
Ep_15,3.0,Calle_1 (1),Medium,Low,Micro,45.83,0.0,58.71,3.261666667,,,,,,,,,,
Ep_15,4.0,Calle_1 (1),Medium,Low,Micro,57.5,0.0,59.45,3.302777778,,,,,,,,,,
Ep_15,5.0,Calle_1 (3),Medium,Low,Micro,66.67,0.0,59.56,3.308888889,,,,,,,,,,
Ep_15,6.0,Calle_1,Medium,Low,Micro,57.14,0.0,59.21,3.289444444,,,,,,,,,,
Ep_15,7.0,Calle_1 (6),Medium,Low,Micro,46.15,0.0,59.18,3.287777778,,,,,,,,,,
Ep_15,8.0,Calle_1,Medium,Low,Micro,55.17,0.0,57.82,3.212222222,,,,,,,,,,
Ep_15,9.0,Calle_1,Medium,Low,Micro,39.29,0.0,58.23,3.235,,,,,,,,,,
Ep_15,10.0,Calle_1 (1),Medium,Low,Micro,46.88,0.0,59.28,3.293333333,,,,,,,,,,
Ep_15,11.0,Calle_1 (2),Medium,Low,Micro,58.33,0.0,58.61,3.256111111,,,,,,,,,,
Ep_15,12.0,Calle_1 (3),Medium,Low,Micro,50.0,0.0,59.72,3.317777778,,,,,,,,,,
Ep_15,13.0,Calle_1 (1),Medium,Low,Micro,47.62,0.0,59.1,3.283333333,,,,,,,,,,
Ep_15,14.0,Calle_1 (2),Medium,Low,Micro,71.43,0.0,59.24,3.291111111,,,,,,,,,,
Ep_15,15.0,Calle_1 (3),Medium,Low,Micro,57.14,0.0,57.98,3.221111111,,,,,,,,,,
Ep_15,16.0,Calle_1,Medium,Low,Micro,35.0,0.0,57.9,3.216666667,,,,,,,,,,
Ep_15,17.0,Calle_1 (1),Medium,Low,Micro,44.44,0.0,57.84,3.213333333,,,,,,,,,,
Ep_15,18.0,Calle_1 (6),Medium,Low,Micro,51.52,0.0,59.04,3.28,,,,,,,,,,
Ep_15,19.0,Calle_1,Medium,Low,Micro,65.38,0.0,58.72,3.262222222,,,,,,,,,,
Ep_15,20.0,Calle_1 (6),Medium,Low,Micro,56.25,0.0,59.47,3.303888889,,,,,,,,,,
Ep_16,1.0,Calle_1 (1),Medium,Low,Skip,48.48,6.06,98.1,5.45,,,,,,,,,,
Ep_16,2.0,Calle_1 (5),Medium,Low,Skip,55.56,4.44,83.52,4.64,,,,,,,,,,
Ep_16,3.0,Calle_1,Medium,Low,Skip,60.0,2.86,48.09,2.671666667,,,,,,,,,,
Ep_16,4.0,Calle_1,Medium,Low,Skip,40.74,3.7,98.28,5.46,,,,,,,,,,
Ep_16,5.0,Calle_1 (1),Medium,Low,Skip,51.52,0.0,59.43,3.301666667,,,,,,,,,,
Ep_16,6.0,Calle_1 (6),Medium,Low,Skip,59.46,0.0,49.15,2.730555556,,,,,,,,,,
Ep_16,7.0,Calle_1 (2),Medium,Low,Skip,52.94,5.88,71.64,3.98,,,,,,,,,,
Ep_16,8.0,Calle_1,Medium,Low,Skip,55.56,0.0,51.54,2.863333333,,,,,,,,,,
Ep_16,9.0,Calle_1,Medium,Low,Skip,58.62,0.0,47.65,2.647222222,,,,,,,,,,
Ep_16,10.0,Calle_1 (1),Medium,Low,Skip,67.74,0.0,55.08,3.06,,,,,,,,,,
Ep_16,11.0,Calle_1 (5),Medium,Low,Skip,50.0,0.0,54.91,3.050555556,,,,,,,,,,
Ep_16,12.0,Calle_1 (4),Medium,Low,Skip,50.0,0.0,73.82,4.101111111,,,,,,,,,,
Ep_16,13.0,Calle_1,Medium,Low,Skip,39.13,4.35,51.13,2.840555556,,,,,,,,,,
Ep_16,14.0,Calle_1 (3),Medium,Low,Skip,59.38,0.0,62.09,3.449444444,,,,,,,,,,
Ep_16,15.0,Calle_1 (2),Medium,Low,Skip,46.15,5.13,80.41,4.467222222,,,,,,,,,,
Ep_16,16.0,Calle_1 (2),Medium,Low,Skip,14.29,0.0,53.63,2.979444444,,,,,,,,,,
Ep_16,17.0,Calle_1 (3),Medium,Low,Skip,68.42,0.0,74.05,4.113888889,,,,,,,,,,
Ep_16,18.0,Calle_1 (6),Medium,Low,Skip,59.09,0.0,86.72,4.817777778,,,,,,,,,,
Ep_16,19.0,Calle_1 (5),Medium,Low,Skip,53.33,3.33,66.79,3.710555556,,,,,,,,,,
Ep_16,20.0,Calle_1 (2),Medium,Low,Skip,43.75,6.25,67.78,3.765555556,,,,,,,,,,
Ep_17,1.0,Calle_1,Medium,Medium,Baseline,87.88,0.0,50.97,2.831666667,,,,,,,,,,
Ep_17,2.0,Calle_1 (6),Medium,Medium,Baseline,93.1,0.0,54.71,3.039444444,,,,,,,,,,
Ep_17,3.0,Calle_1,Medium,Medium,Baseline,89.47,0.0,55.23,3.068333333,,,,,,,,,,
Ep_17,4.0,Calle_1 (6),Medium,Medium,Baseline,85.19,0.0,55.36,3.075555556,,,,,,,,,,
Ep_17,5.0,Calle_1,Medium,Medium,Baseline,87.18,0.0,55.14,3.063333333,,,,,,,,,,
Ep_17,6.0,Calle_1 (3),Medium,Medium,Baseline,86.49,0.0,54.81,3.045,,,,,,,,,,
Ep_17,7.0,Calle_1,Medium,Medium,Baseline,85.19,0.0,55.29,3.071666667,,,,,,,,,,
Ep_17,8.0,Calle_1 (4),Medium,Medium,Baseline,73.68,0.0,55.4,3.077777778,,,,,,,,,,
Ep_17,9.0,Calle_1 (6),Medium,Medium,Baseline,76.67,0.0,54.96,3.053333333,,,,,,,,,,
Ep_17,10.0,Calle_1 (4),Medium,Medium,Baseline,85.71,0.0,54.96,3.053333333,,,,,,,,,,
Ep_17,11.0,Calle_1 (5),Medium,Medium,Baseline,75.76,0.0,55.17,3.065,,,,,,,,,,
Ep_17,12.0,Calle_1 (4),Medium,Medium,Baseline,74.19,0.0,54.4,3.022222222,,,,,,,,,,
Ep_17,13.0,Calle_1,Medium,Medium,Baseline,70.97,0.0,54.85,3.047222222,,,,,,,,,,
Ep_17,14.0,Calle_1 (1),Medium,Medium,Baseline,76.47,0.0,54.85,3.047222222,,,,,,,,,,
Ep_17,15.0,Calle_1 (4),Medium,Medium,Baseline,82.76,0.0,55.1,3.061111111,,,,,,,,,,
Ep_17,16.0,Calle_1 (1),Medium,Medium,Baseline,94.12,0.0,55.06,3.058888889,,,,,,,,,,
Ep_17,17.0,Calle_1,Medium,Medium,Baseline,95.65,0.0,55.38,3.076666667,,,,,,,,,,
Ep_17,18.0,Calle_1 (5),Medium,Medium,Baseline,79.17,0.0,55.51,3.083888889,,,,,,,,,,
Ep_17,19.0,Calle_1 (3),Medium,Medium,Baseline,90.91,0.0,54.89,3.049444444,,,,,,,,,,
Ep_17,20.0,Calle_1 (5),Medium,Medium,Baseline,100.0,0.0,54.97,3.053888889,,,,,,,,,,
Ep_18,1.0,Calle_1,Medium,Medium,Hover,88.24,0.0,53.58,2.976666667,,,,,,,,,,
Ep_18,2.0,Calle_1 (4),Medium,Medium,Hover,83.78,0.0,54.43,3.023888889,,,,,,,,,,
Ep_18,3.0,Calle_1 (1),Medium,Medium,Hover,80.0,0.0,55.09,3.060555556,,,,,,,,,,
Ep_18,4.0,Calle_1 (5),Medium,Medium,Hover,72.0,0.0,54.91,3.050555556,,,,,,,,,,
Ep_18,5.0,Calle_1 (1),Medium,Medium,Hover,86.11,0.0,55.17,3.065,,,,,,,,,,
Ep_18,6.0,Calle_1 (2),Medium,Medium,Hover,64.86,0.0,54.8,3.044444444,,,,,,,,,,
Ep_18,7.0,Calle_1,Medium,Medium,Hover,80.0,0.0,55.32,3.073333333,,,,,,,,,,
Ep_18,8.0,Calle_1 (2),Medium,Medium,Hover,76.92,0.0,54.54,3.03,,,,,,,,,,
Ep_18,9.0,Calle_1 (4),Medium,Medium,Hover,64.0,0.0,55.27,3.070555556,,,,,,,,,,
Ep_18,10.0,Calle_1 (6),Medium,Medium,Hover,84.38,0.0,54.57,3.031666667,,,,,,,,,,
Ep_18,11.0,Calle_1 (4),Medium,Medium,Hover,100.0,0.0,54.86,3.047777778,,,,,,,,,,
Ep_18,12.0,Calle_1 (1),Medium,Medium,Hover,76.19,0.0,55.15,3.063888889,,,,,,,,,,
Ep_18,13.0,Calle_1 (6),Medium,Medium,Hover,86.49,0.0,55.31,3.072777778,,,,,,,,,,
Ep_18,14.0,Calle_1 (4),Medium,Medium,Hover,59.26,0.0,54.98,3.054444444,,,,,,,,,,
Ep_18,15.0,Calle_1 (3),Medium,Medium,Hover,81.08,0.0,55.38,3.076666667,,,,,,,,,,
Ep_18,16.0,Calle_1,Medium,Medium,Hover,96.15,0.0,54.91,3.050555556,,,,,,,,,,
Ep_18,17.0,Calle_1 (2),Medium,Medium,Hover,86.36,0.0,55.71,3.095,,,,,,,,,,
Ep_18,18.0,Calle_1 (3),Medium,Medium,Hover,87.5,0.0,54.87,3.048333333,,,,,,,,,,
Ep_18,19.0,Calle_1 (6),Medium,Medium,Hover,90.91,0.0,55.19,3.066111111,,,,,,,,,,
Ep_18,20.0,Calle_1 (3),Medium,Medium,Hover,64.29,0.0,54.63,3.035,,,,,,,,,,
Ep_19,1.0,Calle_1 (3),Medium,Medium,Micro,64.71,0.0,54.64,3.035555556,,,,,,,,,,
Ep_19,2.0,Calle_1 (6),Medium,Medium,Micro,72.41,0.0,58.66,3.258888889,,,,,,,,,,
Ep_19,3.0,Calle_1 (5),Medium,Medium,Micro,85.71,0.0,59.01,3.278333333,,,,,,,,,,
Ep_19,4.0,Calle_1 (1),Medium,Medium,Micro,89.47,0.0,59.67,3.315,,,,,,,,,,
Ep_19,5.0,Calle_1 (2),Medium,Medium,Micro,81.08,0.0,59.06,3.281111111,,,,,,,,,,
Ep_19,6.0,Calle_1 (4),Medium,Medium,Micro,76.67,0.0,59.09,3.282777778,,,,,,,,,,
Ep_19,7.0,Calle_1 (2),Medium,Medium,Micro,86.11,0.0,58.31,3.239444444,,,,,,,,,,
Ep_19,8.0,Calle_1 (6),Medium,Medium,Micro,78.05,0.0,58.27,3.237222222,,,,,,,,,,
Ep_19,9.0,Calle_1 (4),Medium,Medium,Micro,83.33,0.0,58.18,3.232222222,,,,,,,,,,
Ep_19,10.0,Calle_1 (5),Medium,Medium,Micro,73.08,0.0,58.84,3.268888889,,,,,,,,,,
Ep_19,11.0,Calle_1 (1),Medium,Medium,Micro,73.17,0.0,58.84,3.268888889,,,,,,,,,,
Ep_19,12.0,Calle_1 (3),Medium,Medium,Micro,94.74,0.0,59.87,3.326111111,,,,,,,,,,
Ep_19,13.0,Calle_1 (4),Medium,Medium,Micro,78.26,0.0,58.98,3.276666667,,,,,,,,,,
Ep_19,14.0,Calle_1 (2),Medium,Medium,Micro,82.14,0.0,59.06,3.281111111,,,,,,,,,,
Ep_19,15.0,Calle_1 (1),Medium,Medium,Micro,81.25,0.0,59.06,3.281111111,,,,,,,,,,
Ep_19,16.0,Calle_1,Medium,Medium,Micro,86.96,0.0,58.15,3.230555556,,,,,,,,,,
Ep_19,17.0,Calle_1,Medium,Medium,Micro,82.76,0.0,58.26,3.236666667,,,,,,,,,,
Ep_19,18.0,Calle_1 (6),Medium,Medium,Micro,87.5,0.0,58.68,3.26,,,,,,,,,,
Ep_19,19.0,Calle_1 (6),Medium,Medium,Micro,88.46,0.0,58.98,3.276666667,,,,,,,,,,
Ep_19,20.0,Calle_1 (4),Medium,Medium,Micro,90.48,0.0,59.74,3.318888889,,,,,,,,,,
Ep_20,1.0,Calle_1 (4),Medium,Medium,Skip,83.87,0.0,53.54,2.974444444,,,,,,,,,,
Ep_20,2.0,Calle_1 (5),Medium,Medium,Skip,86.05,0.0,61.15,3.397222222,,,,,,,,,,
Ep_20,3.0,Calle_1 (6),Medium,Medium,Skip,94.12,0.0,51.54,2.863333333,,,,,,,,,,
Ep_20,4.0,Calle_1 (3),Medium,Medium,Skip,69.23,15.38,102.71,5.706111111,,,,,,,,,,
Ep_20,5.0,Calle_1 (2),Medium,Medium,Skip,86.84,0.0,39.01,2.167222222,,,,,,,,,,
Ep_20,6.0,Calle_1 (3),Medium,Medium,Skip,83.33,3.33,92.04,5.113333333,,,,,,,,,,
Ep_20,7.0,Calle_1 (2),Medium,Medium,Skip,82.61,0.0,33.4,1.855555556,,,,,,,,,,
Ep_20,8.0,Calle_1 (1),Medium,Medium,Skip,91.67,0.0,55.07,3.059444444,,,,,,,,,,
Ep_20,9.0,Calle_1 (1),Medium,Medium,Skip,77.42,3.23,75.03,4.168333333,,,,,,,,,,
Ep_20,10.0,Calle_1 (2),Medium,Medium,Skip,75.0,2.78,80.55,4.475,,,,,,,,,,
Ep_20,11.0,Calle_1 (5),Medium,Medium,Skip,86.49,0.0,32.26,1.792222222,,,,,,,,,,
Ep_20,12.0,Calle_1 (5),Medium,Medium,Skip,82.35,0.0,71.2,3.955555556,,,,,,,,,,
Ep_20,13.0,Calle_1 (3),Medium,Medium,Skip,83.33,0.0,41.8,2.322222222,,,,,,,,,,
Ep_20,14.0,Calle_1 (2),Medium,Medium,Skip,65.52,13.79,91.91,5.106111111,,,,,,,,,,
Ep_20,15.0,Calle_1 (6),Medium,Medium,Skip,65.79,7.89,72.27,4.015,,,,,,,,,,
Ep_20,16.0,Calle_1 (3),Medium,Medium,Skip,77.78,0.0,42.59,2.366111111,,,,,,,,,,
Ep_20,17.0,Calle_1 (2),Medium,Medium,Skip,100.0,0.0,76.23,4.235,,,,,,,,,,
Ep_20,18.0,Calle_1 (4),Medium,Medium,Skip,83.33,12.5,72.21,4.011666667,,,,,,,,,,
Ep_20,19.0,Calle_1 (5),Medium,Medium,Skip,75.0,0.0,30.91,1.717222222,,,,,,,,,,
Ep_20,20.0,Calle_1 (5),Medium,Medium,Skip,70.83,16.67,104.89,5.827222222,,,,,,,,,,
Ep_21,1.0,Calle_1 (4),Medium,High,Baseline,63.33,0.0,50.57,2.809444444,,,,,,,,,,
Ep_21,2.0,Calle_1 (6),Medium,High,Baseline,82.76,0.0,54.97,3.053888889,,,,,,,,,,
Ep_21,3.0,Calle_1 (2),Medium,High,Baseline,67.74,0.0,55.25,3.069444444,,,,,,,,,,
Ep_21,4.0,Calle_1 (3),Medium,High,Baseline,70.83,0.0,55.06,3.058888889,,,,,,,,,,
Ep_21,5.0,Calle_1 (6),Medium,High,Baseline,66.67,0.0,55.51,3.083888889,,,,,,,,,,
Ep_21,6.0,Calle_1 (6),Medium,High,Baseline,75.0,0.0,54.8,3.044444444,,,,,,,,,,
Ep_21,7.0,Calle_1 (1),Medium,High,Baseline,83.33,0.0,55.33,3.073888889,,,,,,,,,,
Ep_21,8.0,Calle_1 (3),Medium,High,Baseline,83.33,0.0,54.96,3.053333333,,,,,,,,,,
Ep_21,9.0,Calle_1 (2),Medium,High,Baseline,73.53,0.0,55.6,3.088888889,,,,,,,,,,
Ep_21,10.0,Calle_1 (1),Medium,High,Baseline,55.26,0.0,55.72,3.095555556,,,,,,,,,,
Ep_21,11.0,Calle_1 (1),Medium,High,Baseline,65.22,0.0,55.25,3.069444444,,,,,,,,,,
Ep_21,12.0,Calle_1 (1),Medium,High,Baseline,75.86,0.0,55.52,3.084444444,,,,,,,,,,
Ep_21,13.0,Calle_1,Medium,High,Baseline,69.23,0.0,55.4,3.077777778,,,,,,,,,,
Ep_21,14.0,Calle_1 (3),Medium,High,Baseline,88.57,0.0,54.75,3.041666667,,,,,,,,,,
Ep_21,15.0,Calle_1 (3),Medium,High,Baseline,92.31,0.0,54.91,3.050555556,,,,,,,,,,
Ep_21,16.0,Calle_1 (4),Medium,High,Baseline,73.68,0.0,55.12,3.062222222,,,,,,,,,,
Ep_21,17.0,Calle_1 (2),Medium,High,Baseline,78.57,0.0,55.32,3.073333333,,,,,,,,,,
Ep_21,18.0,Calle_1 (2),Medium,High,Baseline,57.14,0.0,54.97,3.053888889,,,,,,,,,,
Ep_21,19.0,Calle_1 (4),Medium,High,Baseline,81.48,0.0,55.4,3.077777778,,,,,,,,,,
Ep_21,20.0,Calle_1,Medium,High,Baseline,100.0,0.0,55.0,3.055555556,,,,,,,,,,
Ep_22,1.0,Calle_1,Medium,High,Hover,77.5,0.0,53.57,2.976111111,,,,,,,,,,
Ep_22,2.0,Calle_1 (3),Medium,High,Hover,80.0,0.0,55.07,3.059444444,,,,,,,,,,
Ep_22,3.0,Calle_1 (1),Medium,High,Hover,89.13,0.0,55.51,3.083888889,,,,,,,,,,
Ep_22,4.0,Calle_1 (3),Medium,High,Hover,83.33,0.0,54.77,3.042777778,,,,,,,,,,
Ep_22,5.0,Calle_1 (5),Medium,High,Hover,96.43,0.0,55.15,3.063888889,,,,,,,,,,
Ep_22,6.0,Calle_1 (6),Medium,High,Hover,72.73,0.0,54.7,3.038888889,,,,,,,,,,
Ep_22,7.0,Calle_1,Medium,High,Hover,72.73,0.0,55.19,3.066111111,,,,,,,,,,
Ep_22,8.0,Calle_1 (2),Medium,High,Hover,67.86,0.0,54.66,3.036666667,,,,,,,,,,
Ep_22,9.0,Calle_1 (6),Medium,High,Hover,76.0,0.0,55.55,3.086111111,,,,,,,,,,
Ep_22,10.0,Calle_1 (3),Medium,High,Hover,82.35,0.0,54.85,3.047222222,,,,,,,,,,
Ep_22,11.0,Calle_1 (6),Medium,High,Hover,89.19,0.0,55.27,3.070555556,,,,,,,,,,
Ep_22,12.0,Calle_1,Medium,High,Hover,100.0,0.0,54.8,3.044444444,,,,,,,,,,
Ep_22,13.0,Calle_1 (4),Medium,High,Hover,81.48,0.0,55.28,3.071111111,,,,,,,,,,
Ep_22,14.0,Calle_1 (2),Medium,High,Hover,67.74,0.0,55.39,3.077222222,,,,,,,,,,
Ep_22,15.0,Calle_1 (3),Medium,High,Hover,79.07,0.0,55.13,3.062777778,,,,,,,,,,
Ep_22,16.0,Calle_1 (4),Medium,High,Hover,88.89,0.0,54.98,3.054444444,,,,,,,,,,
Ep_22,17.0,Calle_1 (6),Medium,High,Hover,69.57,0.0,55.01,3.056111111,,,,,,,,,,
Ep_22,18.0,Calle_1 (4),Medium,High,Hover,76.19,0.0,54.85,3.047222222,,,,,,,,,,
Ep_22,19.0,Calle_1 (1),Medium,High,Hover,89.47,0.0,55.31,3.072777778,,,,,,,,,,
Ep_22,20.0,Calle_1 (4),Medium,High,Hover,100.0,0.0,54.65,3.036111111,,,,,,,,,,
Ep_23,1.0,Calle_1 (4),Medium,High,Micro,66.67,0.0,55.16,3.064444444,,,,,,,,,,
Ep_23,2.0,Calle_1 (3),Medium,High,Micro,50.0,0.0,58.3,3.238888889,,,,,,,,,,
Ep_23,3.0,Calle_1 (6),Medium,High,Micro,81.48,0.0,58.9,3.272222222,,,,,,,,,,
